0,202,go
1,29,game
2,15,objective
3,11,territory
4,14,ones
5,10,opponent
6,9,as
7,16,game
8,2,progresses
9,212,board
10,407,areas
11,205,territory
12,6,as
13,2,groups
14,13,stones
15,7,areas
16,2,local
17,8,battles
18,3,may
19,8,result
20,33,expansion
21,10,reduction
22,207,or
23,20,capture
24,10,loss
25,10,area
26,27,case
27,23,trade
28,17,goes
29,4,players
30,5,loss
31,15,one
32,405,part
33,210,board
34,236,can
35,8,or
36,5,gain
37,28,part
38,13,board
39,5,basic
40,14,principle
41,9,go
42,13,stones
43,6,must
44,5,at
45,16,one
46,206,liberty
47,14,board
48,207,liberty
49,10,open
50,209,point
51,10,intersection
52,8,stone
53,202,liberty
54,7,or
55,3,liberties
56,8,eye
57,201,group
58,10,stones
59,6,at
60,8,two
61,7,separate
62,600,groups
63,203,dead
64,208,stones
65,10,stones
66,201,groups
67,8,shape
68,9,one
69,3,or
70,8,no
71,9,capture
72,18,general
73,12,strategy
74,9,go
75,6,ones
76,4,territory
77,16,possible
78,5,attack
79,16,opponents
80,202,groups
81,2,groups
82,10,can
83,7,stay
84,8,life
85,202,status
86,15,ones
87,401,groups
88,8,liberties
89,202,groups
90,9,situations
91,3,two
92,401,groups
93,2,must
94,16,capture
95,404,races
96,16,japanese
97,205,race
98,201,group
99,16,liberties
100,28,better
101,10,shape
102,3,will
103,6,capture
104,27,opponents
105,18,stones
106,8,races
107,13,questions
108,22,life
109,212,death
110,25,examples
111,38,makes
112,413,go
113,89,game
114,80,ends
115,202,players
116,432,pass
117,207,players
118,234,pass
119,9,no
120,10,moves
121,438,game
122,30,player
123,209,number
124,35,points
125,406,number
126,32,stones
127,20,komi
128,5,wins
129,217,game
130,24,games
131,8,may
132,4,won
133,7,resignation
134,10,example
135,22,player
136,2,group
137,26,stones
138,30,opening
139,20,stages
140,41,game
141,7,players
142,210,positions
143,32,or
144,420,bases
145,20,corners
146,214,sides
147,17,board
148,209,bases
149,22,help
150,9,living
151,209,shapes
152,11,territory
153,15,players
154,21,start
155,217,corners
156,25,make
157,22,life
158,206,territory
159,28,corner
160,406,opening
161,19,sequences
162,68,japanese
163,11,or
164,18,korean
165,416,points
166,222,points
167,120,lie
168,8,boundary
169,9,walls
170,58,black
171,10,white
172,6,as
173,4,no
174,20,value
175,208,side
176,402,pairs
177,61,white
178,9,black
179,201,groups
180,2,two
181,6,shape
182,208,may
183,11,making
184,214,moves
185,20,move
186,209,may
187,228,back
188,7,original
189,10,position
190,3,fights
191,214,may
192,24,life
193,2,group
194,11,may
195,5,worth
196,26,one
197,7,or
198,18,two
199,28,points
200,9,fights
201,7,as
202,6,picnic
203,16,one
204,9,side
205,227,lot
206,16,japanese
207,9,call
208,2,playing
209,3,players
210,7,strength
211,4,as
212,203,rank
213,5,handicaps
214,31,can
215,8,difference
216,6,place
217,7,two
218,11,or
219,442,stones
220,10,board
221,29,whites
