0,25
1,44
2,22
3,23
4,24
5,12
6,16
7,15
8,35
9,17
10,33
11,2
12,57
13,30
14,15
15,6
16,24
17,15
18,4
19,3
20,18
21,3
22,18
23,33
24,22
25,19
26,24
27,20
28,20
29,27
30,14
31,39
32,16
33,28
34,20
35,11
36,9
37,16
38,54
39,38
40,54
41,17
42,10
43,32
44,23
45,14
46,2
47,3
48,28
49,8
50,4
51,13
52,8
53,19
54,35
55,22
56,38
57,25
58,44
59,23
60,19
61,25
62,13
63,11
64,9
65,2
66,22
67,5
68,0
69,5
70,7
71,0
72,42
73,12
74,32
75,33
76,19
77,39
78,3
79,19
80,9
81,3
82,16
83,15
84,0
85,17
86,26
87,22
88,14
89,12
90,9
91,17
92,11
93,21
94,26
95,7
96,19
97,20
98,21
99,27
100,16
101,42
102,15
103,25
104,17
105,5
106,44
107,5
108,11
109,51
110,26
111,36
112,21
113,17
114,20
115,28
116,25
117,7
118,15
119,27
120,23
121,22
122,28
123,39
124,45
125,35
126,38
127,50
128,58
129,54
130,27
131,38
132,16
133,48
134,5
135,13
136,23
137,16
138,48
139,26
140,24
141,39
142,26
143,5
144,54
145,36
146,25
147,13
148,49
149,38
150,10
151,0
152,11
153,2
154,11
155,13
156,21
157,9
158,5
159,37
160,40
161,33
162,47
163,20
164,41
165,41
166,64
167,37
168,46
169,25
170,41
171,23
172,16
173,38
174,19
175,20
176,18
177,19
178,24
179,19
180,18
181,16
182,36
183,34
184,34
185,37
186,40
187,24
188,38
189,24
190,31
191,26
192,64
193,52
194,42
195,21
196,21
197,31
198,23
199,17
200,10
201,28
202,37
203,39
204,24
205,2
206,20
207,19
208,2
209,12
210,47
211,15
212,21
213,28
214,50
215,32
216,15
217,13
218,42
219,14
220,19
221,27
222,8
223,8
224,36
225,31
226,4
227,3
228,14
229,18
230,14
231,25
232,13
233,13
234,21
235,13
236,14
237,9
238,9
239,7
240,17
241,22
242,2
243,15
244,4
245,45
246,22
247,11
248,3
249,21
250,6
251,12
252,7
253,7
254,16
255,10
256,6
257,12
258,18
259,14
260,15
261,22
262,27
263,47
264,19
265,30
266,1
267,9
